;0;1;
action_comment;0;0;
action_tags;0;0;
action_type;0;0;
actions;0;0;
cluster_attr_exclude;0;0;
cluster_counts;0;0;
cluster_counts_item_total;0;0;
cluster_counts_total;0;0;
cluster_dim_exclude;0;0;
cluster_group;0;0;
cluster_referrer;0;0;
cluster_update;0;0;
demographic;0;0;
dimension;0;0;
item_attr;0;0;
item_attr_bigint;0;0;
item_attr_boolean;0;0;
item_attr_datetime;0;0;
item_attr_double;0;0;
item_attr_enum;0;0;
item_attr_int;0;0;
item_attr_varchar;0;0;
item_clusters;0;0;
item_clusters_new;0;0;
item_counts;0;0;
item_demo;0;0;
item_map_bigint;0;0;
item_map_boolean;0;0;
item_map_datetime;0;0;
item_map_double;0;0;
item_map_enum;0;0;
item_map_int;0;0;
item_map_text;0;0;
item_map_varchar;0;0;
item_map_varchar_locale;-;0;
item_similarity;0;0;
item_similarity_new;0;0;
item_type;0;0;
items;0;0;
items_popular;0;0;
items_popular_new;0;0;
items_recent_popularity;0;0;
items_recent_popularity_new;-;0;
user_attr;0;0;
user_attr_bigint;0;0;
user_attr_boolean;0;0;
user_attr_datetime;0;0;
user_attr_double;0;0;
user_attr_enum;0;0;
user_attr_int;0;0;
user_attr_varchar;0;0;
user_clusters;0;0;
user_clusters_new;0;0;
user_clusters_transient;0;0;
user_dim;0;0;
user_dim_new;0;0;
user_interaction;0;0;
user_map_bigint;0;0;
user_map_boolean;0;0;
user_map_datetime;0;0;
user_map_double;0;0;
user_map_enum;0;0;
user_map_int;0;0;
user_map_text;0;0;
user_map_varchar;0;0;
user_similarity;0;0;
user_tag;0;0;
user_user_avg;0;0;
users;0;0;
version;0;0;
