;0;1;
action_comment;2[0|0|0|0];2[0|0|0|0];
action_tags;3[0|0|0|0];3[0|0|0|0];
action_type;6[0|0|0|0];6[0|0|0|0];
actions;9[0|0|0|0];9[0|0|0|0];
cluster_attr_exclude;1[0|0|0|0];1[0|0|0|0];
cluster_counts;4[0|0|0|0];4[0|0|0|0];
cluster_counts_item_total;3[0|0|0|0];3[0|0|0|0];
cluster_counts_total;3[0|0|0|0];3[0|0|0|0];
cluster_dim_exclude;1[0|0|0|0];1[0|0|0|0];
cluster_group;2[0|0|0|0];2[0|0|0|0];
cluster_referrer;2[0|0|0|0];2[0|0|0|0];
cluster_update;1[0|0|0|0];1[0|0|0|0];
demographic;3[0|0|0|0];3[0|0|0|0];
dimension;5[0|0|0|0];5[0|0|0|0];
item_attr;5[0|0|0|0];5[0|0|0|0];
item_attr_bigint;4[0|0|0|0];4[0|0|0|0];
item_attr_boolean;4[0|0|0|0];4[0|0|0|0];
item_attr_datetime;4[0|0|0|0];4[0|0|0|0];
item_attr_double;4[0|0|0|0];4[0|0|0|0];
item_attr_enum;5[0|0|0|0];5[0|0|0|0];
item_attr_int;4[0|0|0|0];4[0|0|0|0];
item_attr_varchar;4[0|0|0|0];4[0|0|0|0];
item_clusters;4[0|0|0|0];4[0|0|0|0];
item_clusters_new;4[0|0|0|0];4[0|0|0|0];
item_counts;3[0|0|0|0];3[0|0|0|0];
item_demo;3[0|0|0|0];3[0|0|0|0];
item_map_bigint;3[0|0|0|0];3[0|0|0|0];
item_map_boolean;3[0|0|0|0];3[0|0|0|0];
item_map_datetime;3[0|0|0|0];3[0|0|0|0];
item_map_double;3[0|0|0|0];3[0|0|0|0];
item_map_enum;3[0|0|0|0];3[0|0|0|0];
item_map_int;3[0|0|0|0];3[0|0|0|0];
item_map_text;3[0|0|0|0];3[0|0|0|0];
item_map_varchar;4[0|0|0|0];4[0|0|0|0];
item_map_varchar_locale;0|-|-|-|-;5[0|0|0|0];
item_similarity;3[0|0|0|0];3[0|0|0|0];
item_similarity_new;3[0|0|0|0];3[0|0|0|0];
item_type;4[0|0|0|0];4[0|0|0|0];
items;10[0|0|0|0];10[0|0|0|0];
items_popular;2[0|0|0|0];2[0|0|0|0];
items_popular_new;2[0|0|0|0];2[0|0|0|0];
items_recent_popularity;4[0|0|0|0];4[0|0|0|0];
items_recent_popularity_new;0|-|-|-|-;4[0|0|0|0];
user_attr;5[0|0|0|0];5[0|0|0|0];
user_attr_bigint;4[0|0|0|0];4[0|0|0|0];
user_attr_boolean;4[0|0|0|0];4[0|0|0|0];
user_attr_datetime;4[0|0|0|0];4[0|0|0|0];
user_attr_double;4[0|0|0|0];4[0|0|0|0];
user_attr_enum;4[0|0|0|0];4[0|0|0|0];
user_attr_int;4[0|0|0|0];4[0|0|0|0];
user_attr_varchar;4[0|0|0|0];4[0|0|0|0];
user_clusters;3[0|0|0|0];3[0|0|0|0];
user_clusters_new;3[0|0|0|0];3[0|0|0|0];
user_clusters_transient;4[0|0|0|0];4[0|0|0|0];
user_dim;3[0|0|0|0];3[0|0|0|0];
user_dim_new;3[0|0|0|0];3[0|0|0|0];
user_interaction;7[0|0|0|0];7[0|0|0|0];
user_map_bigint;3[0|0|0|0];3[0|0|0|0];
user_map_boolean;3[0|0|0|0];3[0|0|0|0];
user_map_datetime;3[0|0|0|0];3[0|0|0|0];
user_map_double;3[0|0|0|0];3[0|0|0|0];
user_map_enum;3[0|0|0|0];3[0|0|0|0];
user_map_int;3[0|0|0|0];3[0|0|0|0];
user_map_text;3[0|0|0|0];3[0|0|0|0];
user_map_varchar;3[0|0|0|0];3[0|0|0|0];
user_similarity;4[0|0|0|0];4[0|0|0|0];
user_tag;3[0|0|0|0];3[0|0|0|0];
user_user_avg;4[0|0|0|0];4[0|0|0|0];
users;10[0|0|0|0];10[0|0|0|0];
version;4[0|0|0|0];4[0|0|0|0];
