table;dur;birth;death;chngs;s@s;s@e;sAvg
action_comment;2;0;-;0;2;2;2.0
action_tags;2;0;-;0;3;3;3.0
action_type;2;0;-;0;6;6;6.0
actions;2;0;-;0;9;9;9.0
cluster_attr_exclude;2;0;-;0;1;1;1.0
cluster_counts;2;0;-;0;4;4;4.0
cluster_counts_item_total;2;0;-;0;3;3;3.0
cluster_counts_total;2;0;-;0;3;3;3.0
cluster_dim_exclude;2;0;-;0;1;1;1.0
cluster_group;2;0;-;0;2;2;2.0
cluster_referrer;2;0;-;0;2;2;2.0
cluster_update;2;0;-;0;1;1;1.0
demographic;2;0;-;0;3;3;3.0
dimension;2;0;-;0;5;5;5.0
item_attr;2;0;-;0;5;5;5.0
item_attr_bigint;2;0;-;0;4;4;4.0
item_attr_boolean;2;0;-;0;4;4;4.0
item_attr_datetime;2;0;-;0;4;4;4.0
item_attr_double;2;0;-;0;4;4;4.0
item_attr_enum;2;0;-;0;5;5;5.0
item_attr_int;2;0;-;0;4;4;4.0
item_attr_varchar;2;0;-;0;4;4;4.0
item_clusters;2;0;-;0;4;4;4.0
item_clusters_new;2;0;-;0;4;4;4.0
item_counts;2;0;-;0;3;3;3.0
item_demo;2;0;-;0;3;3;3.0
item_map_bigint;2;0;-;0;3;3;3.0
item_map_boolean;2;0;-;0;3;3;3.0
item_map_datetime;2;0;-;0;3;3;3.0
item_map_double;2;0;-;0;3;3;3.0
item_map_enum;2;0;-;0;3;3;3.0
item_map_int;2;0;-;0;3;3;3.0
item_map_text;2;0;-;0;3;3;3.0
item_map_varchar;2;0;-;0;4;4;4.0
item_map_varchar_locale;1;1;-;0;5;5;5.0
item_similarity;2;0;-;0;3;3;3.0
item_similarity_new;2;0;-;0;3;3;3.0
item_type;2;0;-;0;4;4;4.0
items;2;0;-;0;10;10;10.0
items_popular;2;0;-;0;2;2;2.0
items_popular_new;2;0;-;0;2;2;2.0
items_recent_popularity;2;0;-;0;4;4;4.0
items_recent_popularity_new;1;1;-;0;4;4;4.0
user_attr;2;0;-;0;5;5;5.0
user_attr_bigint;2;0;-;0;4;4;4.0
user_attr_boolean;2;0;-;0;4;4;4.0
user_attr_datetime;2;0;-;0;4;4;4.0
user_attr_double;2;0;-;0;4;4;4.0
user_attr_enum;2;0;-;0;4;4;4.0
user_attr_int;2;0;-;0;4;4;4.0
user_attr_varchar;2;0;-;0;4;4;4.0
user_clusters;2;0;-;0;3;3;3.0
user_clusters_new;2;0;-;0;3;3;3.0
user_clusters_transient;2;0;-;0;4;4;4.0
user_dim;2;0;-;0;3;3;3.0
user_dim_new;2;0;-;0;3;3;3.0
user_interaction;2;0;-;0;7;7;7.0
user_map_bigint;2;0;-;0;3;3;3.0
user_map_boolean;2;0;-;0;3;3;3.0
user_map_datetime;2;0;-;0;3;3;3.0
user_map_double;2;0;-;0;3;3;3.0
user_map_enum;2;0;-;0;3;3;3.0
user_map_int;2;0;-;0;3;3;3.0
user_map_text;2;0;-;0;3;3;3.0
user_map_varchar;2;0;-;0;3;3;3.0
user_similarity;2;0;-;0;4;4;4.0
user_tag;2;0;-;0;3;3;3.0
user_user_avg;2;0;-;0;4;4;4.0
users;2;0;-;0;10;10;10.0
version;2;0;-;0;4;4;4.0
