;0;1;
api_key;0;0;
blue_shard_0;0;0;
blue_shard_1;0;0;
blue_shard_2;0;0;
blue_shard_3;0;0;
blue_shard_4;0;0;
blue_shard_5;0;0;
blue_shard_6;0;0;
blue_shard_7;0;0;
blue_shard_8;0;0;
blue_shard_9;0;0;
blue_shard_a;0;0;
blue_shard_b;0;0;
blue_shard_c;0;0;
blue_shard_d;0;0;
blue_shard_e;0;0;
blue_shard_f;0;0;
cell_area;0;0;
cell_area_ocid;0;0;
cell_gsm;0;0;
cell_gsm_ocid;0;0;
cell_lte;0;0;
cell_lte_ocid;0;0;
cell_wcdma;0;0;
cell_wcdma_ocid;0;0;
datamap_ne;0;0;
datamap_nw;0;0;
datamap_se;0;0;
datamap_sw;0;0;
export_config;0;0;
region_stat;0;0;
stat;0;0;
wifi_shard_0;0;0;
wifi_shard_1;0;0;
wifi_shard_2;0;0;
wifi_shard_3;0;0;
wifi_shard_4;0;0;
wifi_shard_5;0;0;
wifi_shard_6;0;0;
wifi_shard_7;0;0;
wifi_shard_8;0;0;
wifi_shard_9;0;0;
wifi_shard_a;0;0;
wifi_shard_b;0;0;
wifi_shard_c;0;0;
wifi_shard_d;0;0;
wifi_shard_e;0;0;
wifi_shard_f;0;0;
