;0;1;2;3;4;5;6;7;8;9;
ltv_app;0;0;0;0;5;5;5;5;5;5;
ltv_flight;0;0;0;0;19;19;19;19;19;19;
ltv_flight_group;0;0;0;0;3;3;3;3;3;3;
pmp_ad_category;0;0;0;0;0;4;4;4;4;4;
pmp_advertiser;0;7;7;7;7;7;7;7;7;7;
pmp_app_info;5;5;5;5;5;5;5;5;5;5;
pmp_campaign;0;20;20;20;20;20;20;20;20;20;
pmp_campaign_creative;13;13;13;13;13;13;13;13;13;13;
pmp_campaign_daily_config;0;4;4;4;4;4;4;4;4;4;
pmp_campaign_daily_report;0;0;0;0;0;0;0;0;0;10;
pmp_campaign_group;0;4;4;4;4;4;4;4;4;4;
pmp_campaign_targeting;0;4;4;4;4;4;4;4;4;4;
pmp_lov;0;5;5;5;5;5;5;5;5;5;
