;0;1;
configuration;8[0|0|0|0];8[0|0|0|0];
entry;3[0|0|0|0];3[0|0|0|0];
environment;7[0|0|0|0];7[0|0|0|0];
project;8[0|0|0|0];8[0|0|0|0];
tag;6[0|0|0|0];6[0|0|0|0];
version;6[0|0|0|0];6[0|0|0|0];
