trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1422256760;1403288113.sql;1422256760.sql;2;2;5;6;0;0;1;0;0;0;0;0
2;1426237186;1422256760.sql;1426237186.sql;2;15;6;136;14;1;0;0;0;0;134;4
3;1426391891;1426237186.sql;1426391891.sql;15;15;136;136;0;0;0;0;0;0;0;0
4;1427371407;1426391891.sql;1427371407.sql;15;2;136;6;0;13;0;0;0;0;0;130
5;1445014389;1427371407.sql;1445014389.sql;2;2;6;7;0;0;1;0;0;0;0;0
6;1501579486;1445014389.sql;1501579486.sql;2;2;7;11;0;0;4;0;6;0;0;0
7;1531215978;1501579486.sql;1531215978.sql;2;2;11;12;0;0;1;0;0;0;0;0
8;1540370259;1531215978.sql;1540370259.sql;2;2;12;13;0;0;1;0;1;0;0;0
