;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;
ability_upgrades;4[0|0|0|0];4[0|0|0|0];4[0|0|3|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
additional_units;8[0|0|0|0];8[0|0|0|0];8[0|0|7|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];
broadcasters;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];
items;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
league_prize_pools;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
leagues;0|-|-|-|-;0|-|-|-|-;6[0|0|0|0];5[0|1|0|0];5[0|0|0|0];6[1|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];7[1|0|0|0];7[0|0|0|0];7[0|0|0|0];
live_matches;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;37[0|0|0|0];37[0|0|0|0];
live_slots;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;27[0|0|0|0];27[0|0|0|0];
matches;28[0|0|0|0];28[0|0|0|0];27[0|1|6|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|0|0];27[0|0|1|0];34[7|0|0|0];34[0|0|0|0];34[0|0|0|0];
picks_bans;6[0|0|0|0];6[0|0|0|0];6[0|0|4|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|1|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
slots;25[0|0|0|0];25[0|0|0|0];25[0|0|24|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];25[0|0|1|0];25[0|0|0|0];25[0|0|0|0];25[0|0|0|0];
teams;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
users;3[0|0|0|0];3[1|1|0|0];6[3|0|1|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
