;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;
ability_upgrades;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
additional_units;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
broadcasters;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;
items;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;
league_prize_pools;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;
leagues;-;-;0;1;0;0;0;0;0;0;0;0;0;0;0;
live_matches;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;
live_slots;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;
matches;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
picks_bans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
slots;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
teams;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;
users;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
