;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;
ability_upgrades;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
additional_units;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
broadcasters;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;
items;0;0;0;0;7;7;7;7;7;7;7;7;7;7;7;
league_prize_pools;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;
leagues;0;0;6;5;5;6;6;6;6;6;6;6;7;7;7;
live_matches;0;0;0;0;0;0;0;0;0;0;0;0;0;37;37;
live_slots;0;0;0;0;0;0;0;0;0;0;0;0;0;27;27;
matches;28;28;27;27;27;27;27;27;27;27;27;27;34;34;34;
picks_bans;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;
slots;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;
teams;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;
users;3;3;6;6;6;6;6;6;6;6;6;6;6;6;6;
