table;dur;birth;death;chngs;s@s;s@e;sAvg
account_data;7;0;-;0;7;7;7.0
characters;7;0;-;0;5;5;5.0
game_servers;3;0;2;0;3;3;3.0
games;7;0;-;3;3;6;5.571429
hosts;4;3;-;0;3;3;3.0
loading_hosts;4;3;-;0;3;3;3.0
machines;7;0;-;0;3;3;3.0
machines_metadata;7;0;-;0;6;6;6.0
pending_players;1;5;5;0;2;2;2.0
