table;dur;birth;death;chngs;s@s;s@e;sAvg
active_modules;20;6;-;2;3;3;3.0
active_services;22;4;-;1;4;5;4.318182
board_codes;16;0;15;1;2;2;2.0
board_imports;6;0;5;0;3;3;3.0
board_types;6;0;5;0;4;4;4.0
boards;26;0;-;32;6;20;13.615385
boards_connected;6;0;5;5;3;7;6.3333335
connectivity;1;25;-;0;4;4;4.0
connectivity_types;1;25;-;0;2;2;2.0
coordinates;20;6;-;0;6;6;6.0
drivers;25;1;-;1;4;4;4.0
drivers_injected;25;1;-;0;4;4;4.0
flows;8;18;-;0;7;7;7.0
flows_injected;8;18;-;0;2;2;2.0
free_addresses;25;1;-;0;3;3;3.0
layouts;20;6;-;2;4;6;4.45
measures;3;0;2;0;4;4;4.0
measures_injected;3;0;2;0;5;5;5.0
modules;20;6;-;0;3;3;3.0
mountpoints;23;3;-;2;5;5;5.0
plugin_sensors;24;1;24;0;2;2;2.0
plugin_tags;10;16;-;0;2;2;2.0
plugin_types;10;16;-;0;2;2;2.0
plugins;26;0;-;13;5;12;7.6923075
plugins_injected;26;0;-;7;3;6;4.1538463
projects;20;6;-;0;3;3;3.0
requests;4;22;-;0;5;5;5.0
results;4;22;-;0;5;5;5.0
reverse_cloud_services;16;0;15;1;4;4;4.0
sensors;25;1;-;9;5;6;5.04
sensors_on_board;25;1;-;0;2;2;2.0
services;22;4;-;0;4;4;4.0
socat_connections;25;1;-;0;6;6;6.0
user_boards;6;0;5;2;5;6;5.8333335
user_groups;6;0;5;0;2;2;2.0
user_profiles;6;0;5;0;5;5;5.0
userproject_comments;6;0;5;0;6;6;6.0
userproject_likes;6;0;5;0;2;2;2.0
userprojects;6;0;5;0;6;6;6.0
users;26;0;-;11;6;7;6.769231
view1;15;1;15;0;1;1;1.0
vlans;25;1;-;0;5;5;5.0
vlans_connection;25;1;-;0;4;4;4.0
