;0;1;2;3;4;5;6;7;8;9;10;11;
cashbook;-;-;-;-;-;-;0;0;0;0;0;0;
category;-;-;-;-;-;-;0;0;0;0;0;0;
profile;-;-;-;-;-;-;0;0;0;0;0;0;
role;-;-;-;-;-;-;0;0;0;0;0;0;
tb_account;-;-;-;-;0;0;-;-;-;-;-;-;
tb_cashbook;0;0;0;0;0;0;-;-;-;-;-;-;
tb_category;0;0;0;0;0;0;-;-;-;-;-;-;
tb_currency;-;-;-;-;0;0;-;-;-;-;-;-;
tb_migration;-;0;0;0;0;0;-;-;-;-;-;-;
tb_profile;-;0;0;0;0;0;-;-;-;-;-;-;
tb_role;-;0;0;0;0;0;-;-;-;-;-;-;
tb_type;0;0;0;0;0;0;-;-;-;-;-;-;
tb_user;-;0;0;0;0;0;-;-;-;-;-;-;
tb_user_auth;-;0;0;0;0;0;-;-;-;-;-;-;
tb_user_key;-;0;0;0;0;0;-;-;-;-;-;-;
type;-;-;-;-;-;-;0;0;0;0;0;0;
user;-;-;-;-;-;-;0;0;0;0;0;0;
user_auth;-;-;-;-;-;-;0;0;0;0;0;0;
user_key;-;-;-;-;-;-;0;0;0;0;0;0;
