trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1421191664		1421191664.sql	2015-01-13 23:27:44	0	0	0	0	3	0	18	3	0	18	0	0	0	0	0	0	0	18	0	0	18	0	18	1	0	1
1	1429637771	1421191664.sql	1429637771.sql	2015-04-21 17:36:11	97	1	4	3	9	18	63	6	0	43	0	2	0	1	0	6	45	45	0	1	45	1	46	1	0	1
2	1444148212	1429637771.sql	1444148212.sql	2015-10-06 16:16:52	265	1	9	9	9	63	63	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	0	1	1
3	1444691069	1444148212.sql	1444691069.sql	2015-10-12 23:04:29	271	1	9	9	9	63	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1444752202	1444691069.sql	1444752202.sql	2015-10-13 16:03:22	272	1	9	9	11	63	73	2	0	10	0	0	0	0	0	2	10	10	0	0	10	0	10	0	1	1
5	1444833247	1444752202.sql	1444833247.sql	2015-10-14 14:34:07	273	1	10	11	11	73	74	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
6	1451163094	1444833247.sql	1451163094.sql	2015-12-26 20:51:34	346	1	12	11	8	74	64	8	11	64	74	0	0	0	0	-3	-10	64	74	0	64	74	138	1	0	1
7	1451237486	1451163094.sql	1451237486.sql	2015-12-27 17:31:26	347	1	12	8	8	64	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1481676951	1451237486.sql	1481676951.sql	2016-12-14 00:55:51	700	2	24	8	8	64	66	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2	0	1	1
9	1482933319	1481676951.sql	1482933319.sql	2016-12-28 13:55:19	714	2	24	8	8	66	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	1483192429	1482933319.sql	1483192429.sql	2016-12-31 13:53:49	717	2	24	8	8	66	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	1532264560	1483192429.sql	1532264560.sql	2018-07-22 13:02:40	1285	4	43	8	8	66	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
