;0;1;2;3;4;5;6;7;8;9;10;11;
cashbook;0;0;0;0;0;0;12;12;12;12;12;12;
category;0;0;0;0;0;0;6;6;6;6;6;6;
profile;0;0;0;0;0;0;7;7;9;9;9;9;
role;0;0;0;0;0;0;5;5;5;5;5;5;
tb_account;0;0;0;0;4;4;0;0;0;0;0;0;
tb_cashbook;11;12;12;12;12;13;0;0;0;0;0;0;
tb_category;3;4;4;4;4;4;0;0;0;0;0;0;
tb_currency;0;0;0;0;6;6;0;0;0;0;0;0;
tb_migration;0;2;2;2;2;2;0;0;0;0;0;0;
tb_profile;0;6;6;6;6;6;0;0;0;0;0;0;
tb_role;0;5;5;5;5;5;0;0;0;0;0;0;
tb_type;4;4;4;4;4;4;0;0;0;0;0;0;
tb_user;0;16;16;16;16;16;0;0;0;0;0;0;
tb_user_auth;0;7;7;7;7;7;0;0;0;0;0;0;
tb_user_key;0;7;7;7;7;7;0;0;0;0;0;0;
type;0;0;0;0;0;0;4;4;4;4;4;4;
user;0;0;0;0;0;0;16;16;16;16;16;16;
user_auth;0;0;0;0;0;0;7;7;7;7;7;7;
user_key;0;0;0;0;0;0;7;7;7;7;7;7;
