;0;1;
bb_blog;11[0|0|0|0];11[0|0|0|0];
bb_blog_content;2[0|0|0|0];2[0|0|0|0];
bb_catalog;6[0|0|0|0];6[0|0|0|0];
bb_option;3[0|0|0|0];0|-|-|-|-;
