;0;1;2;
products;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
purchases;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
users;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
