;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;
$[prefix]categories;0;12;12;12;12;12;12;12;12;12;12;12;12;12;12;
$[prefix]categories_posts;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
$[prefix]comments;0;16;16;16;16;16;16;16;16;16;17;17;17;17;17;
$[prefix]links;0;15;15;15;15;15;15;15;15;15;15;15;15;15;15;
$[prefix]media;0;0;0;0;0;0;0;0;14;14;14;14;14;14;14;
$[prefix]menus;0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;
$[prefix]options;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;
$[prefix]post_meta;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;
$[prefix]post_metas;0;5;5;5;5;5;5;0;0;0;0;0;0;0;0;
$[prefix]posts;0;16;16;16;16;16;16;16;16;17;18;18;18;18;18;
$[prefix]posts_tags;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
$[prefix]tags;0;8;8;8;8;8;8;8;8;8;8;8;8;8;8;
$[prefix]user_meta;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;
$[prefix]user_metas;0;5;5;5;5;5;5;0;0;0;0;0;0;0;0;
$[prefix]users;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;
hr_categories;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_categories_posts;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_comments;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_links;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_menus;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_options;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_post_metas;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_posts;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_posts_tags;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_tags;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_user_metas;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_users;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
media;0;0;0;0;0;14;14;14;0;0;0;0;0;0;0;
