;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;
$[prefix]categories;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
$[prefix]categories_posts;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
$[prefix]comments;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
$[prefix]links;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
$[prefix]media;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;
$[prefix]menus;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
$[prefix]options;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
$[prefix]post_meta;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
$[prefix]post_metas;-;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
$[prefix]posts;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
$[prefix]posts_tags;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
$[prefix]tags;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
$[prefix]user_meta;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;
$[prefix]user_metas;-;0;0;0;0;0;0;-;-;-;-;-;-;-;-;
$[prefix]users;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
hr_categories;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
hr_categories_posts;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
hr_comments;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
hr_links;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
hr_menus;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
hr_options;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
hr_post_metas;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
hr_posts;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
hr_posts_tags;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
hr_tags;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
hr_user_metas;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
hr_users;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
media;-;-;-;-;-;0;0;0;-;-;-;-;-;-;-;
