table;dur;birth;death;chngs;s@s;s@e;sAvg
AggregatedCounter;9;1;13;1;4;4;4.0
Counter;10;0;13;2;4;4;4.0
DistributedLock;10;0;13;3;2;2;2.0
Hash;10;0;13;2;5;5;5.0
Job;10;0;13;1;7;7;7.0
JobParameter;10;0;13;1;4;4;4.0
JobQueue;10;0;13;3;5;5;5.0
JobState;10;0;13;2;6;6;6.0
List;10;0;13;1;4;4;4.0
Server;10;0;13;1;3;3;3.0
Set;10;0;13;5;5;5;5.0
State;10;0;13;2;6;6;6.0
[tablesPrefix]AggregatedCounter;5;6;-;0;4;4;4.0
[tablesPrefix]Counter;5;6;-;0;4;4;4.0
[tablesPrefix]DistributedLock;5;6;-;0;2;2;2.0
[tablesPrefix]Hash;5;6;-;0;5;5;5.0
[tablesPrefix]Job;5;6;-;0;7;7;7.0
[tablesPrefix]JobParameter;5;6;-;0;4;4;4.0
[tablesPrefix]JobQueue;5;6;-;0;5;5;5.0
[tablesPrefix]JobState;5;6;-;0;6;6;6.0
[tablesPrefix]List;5;6;-;0;4;4;4.0
[tablesPrefix]Server;5;6;-;0;3;3;3.0
[tablesPrefix]Set;5;6;-;0;5;5;5.0
[tablesPrefix]State;5;6;-;0;6;6;6.0
