;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;
devices;-;-;-;-;-;0;0;0;0;0;0;0;0;0;1;0;0;0;
pairing_tokens;-;-;-;-;-;-;-;-;0;0;0;0;0;0;1;0;0;0;
tokens;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;
transactions;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;
txlog;-;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;
user_config;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
users;-;-;-;-;-;-;-;-;-;-;0;0;0;0;1;0;0;0;
