;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;
devices;0;0;0;0;0;3;4;4;4;4;4;4;4;4;4;4;4;4;
pairing_tokens;0;0;0;0;0;0;0;0;2;2;2;3;3;3;3;3;3;3;
tokens;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;
transactions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;11;11;11;
txlog;0;7;10;10;10;10;10;10;10;10;10;10;10;10;0;0;0;0;
user_config;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
users;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;
