table;dur;birth;death;chngs;s@s;s@e;sAvg
devices;13;5;-;6;3;4;3.9230769
pairing_tokens;10;8;-;5;2;3;2.7
tokens;1;7;7;0;2;2;2.0
transactions;4;14;-;3;12;11;11.25
txlog;13;1;13;6;7;10;9.769231
user_config;18;0;-;3;3;3;3.0
users;8;10;-;4;4;4;4.0
