table;dur;birth;death;chngs;s@s;s@e;sAvg
api_call;10;14;-;1;10;11;10.4
apns_token;13;11;-;0;6;6;6.0
application;24;0;-;7;9;13;10.25
client;21;0;-;4;6;8;7.6190476
client_version;24;0;-;0;9;9;9.0
customer;12;12;-;0;5;5;5.0
file_link;1;23;-;0;8;8;8.0
group_msg;4;20;-;0;7;7;7.0
operation;1;23;-;0;8;8;8.0
opertion;4;19;22;2;8;8;8.0
org;24;0;-;0;8;8;8.0
org_user;24;0;-;0;4;4;4.0
private_msg;4;20;-;0;7;7;7.0
public_msg;4;20;-;0;6;6;6.0
public_msg_log;4;20;-;0;3;3;3.0
push_cnt;5;16;-;0;11;11;11.0
qun;24;0;-;1;8;9;8.458333
qun_user;24;0;-;0;8;8;8.0
quota;10;14;-;2;9;9;9.0
resource;14;10;-;2;8;8;8.0
session;23;1;-;1;5;6;5.9565215
tenant;24;0;-;1;6;7;6.4583335
user;24;0;-;0;16;16;16.0
user_user;24;0;-;0;7;7;7.0
