Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
tx_tevlabel_domain_model_label	1	3	-	3	2015-08-04 19:53:42	2015-08-04 19:53:42	2	2	0	9	9	9	1	0	0	0	0		20	0	20
tx_tevlabel_labels	3	0	2	2	2013-09-20 10:08:08	2015-08-03 14:54:26	0	2	682	10	9	9.67	0.9	2	1	0.67	0.33	2	10	1	11
