;0;1;2;
finder_filters;14[0|0|0|0];14[0|0|0|0];14[0|0|0|0];
finder_links;19[0|0|0|0];19[0|0|0|0];19[0|0|1|0];
finder_links_terms0;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_terms1;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_terms2;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_terms3;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_terms4;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_terms5;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_terms6;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_terms7;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_terms8;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_terms9;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_termsa;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_termsb;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_termsc;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_termsd;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_termse;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_links_termsf;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
finder_taxonomy;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
finder_taxonomy_map;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
finder_terms;8[0|0|0|0];9[1|0|0|0];9[0|0|1|0];
finder_terms_common;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
finder_tokens;6[0|0|0|0];7[1|0|0|0];7[0|0|0|0];
finder_tokens_aggregate;10[0|0|0|0];11[1|0|0|0];11[0|0|0|0];
finder_types;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
