;0;1;2;3;
browsers;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
scenario_failed_info;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
scenario_failed_links;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
scenario_steps;6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];6[0|0|0|0];
scenario_tags;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
scenario_test_runs;14[0|0|0|0];13[0|1|0|0];13[0|0|0|0];13[0|0|0|0];
scenarios;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];5[1|0|0|0];
test_environments;4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];4[0|0|0|0];
