;0;1;2;3;
browsers;0;0;0;0;
scenario_failed_info;0;0;0;0;
scenario_failed_links;0;0;0;0;
scenario_steps;0;0;0;0;
scenario_tags;0;0;0;0;
scenario_test_runs;0;0;0;0;
scenarios;0;0;0;1;
test_environments;0;0;0;0;
