trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1421781284		1421781284.sql	2015-01-20 19:14:44	0	0	0		8		49	8	0	49	0	0	0	0	0			49	0	0	49	0	49	
1	1424945390	1421781284.sql	1424945390.sql	2015-02-26 10:09:50	36	1	2	8	8	49	48	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	1	1	
2	1425579496	1424945390.sql	1425579496.sql	2015-03-05 18:18:16	43	1	2	8	8	48	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	1434633710	1425579496.sql	1434633710.sql	2015-06-18 13:21:50	148	1	5	8	8	48	49	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
