;0;1;2;3;
browsers;4;4;4;4;
scenario_failed_info;6;6;6;6;
scenario_failed_links;6;6;6;6;
scenario_steps;6;6;6;6;
scenario_tags;5;5;5;5;
scenario_test_runs;14;13;13;13;
scenarios;4;4;4;5;
test_environments;4;4;4;4;
