table;dur;birth;death;chngs;s@s;s@e;sAvg
access_location;3;0;-;0;3;3;3.0
access_rack;3;0;-;0;3;3;3.0
connection;3;0;-;0;7;7;7.0
connection_type;3;0;-;0;2;2;2.0
connection_type_lang;3;0;-;0;3;3;3.0
dbversion;3;0;-;0;1;1;1.0
device;3;0;-;0;5;5;5.0
device_port;3;0;-;0;4;4;4.0
device_type;3;0;-;0;2;2;2.0
device_type_lang;3;0;-;0;3;3;3.0
group;3;0;-;0;2;2;2.0
language;3;0;-;0;3;3;3.0
ldap;3;0;-;0;8;8;8.0
location;3;0;-;0;3;3;3.0
rack;3;0;-;0;4;4;4.0
session;3;0;-;0;7;7;7.0
user;3;0;-;8;8;8;8.0
user_group;3;0;-;0;3;3;3.0
