;0;1;2;
tbl_node;7[0|0|0|0];7[0|0|0|0];0|-|-|-|-;
tbl_reply;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
tbl_topic;11[0|0|0|0];11[0|0|0|0];11[0|0|0|0];
tbl_user;10[0|0|0|0];10[0|0|0|0];10[0|0|0|0];
