LADClass	0%-5%	5%-10%	10%-15%	15%-20%	20%-25%	25%-30%	30%-35%	35%-40%	40%-45%	45%-50%	50%-55%	55%-60%	60%-65%	65%-70%	70%-75%	75%-80%	80%-85%	85%-90%	90%-95%	95%-100%
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286	0	0	0	0.429
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143
