table;dur;birth;death;chngs;s@s;s@e;sAvg
action;14;0;-;12;10;12;10.5
action_result;14;0;-;6;13;15;13.928572
action_user;8;0;7;0;3;3;3.0
action_user_group;14;0;-;0;3;3;3.0
chart;14;0;-;14;9;8;8.571428
chart_element;14;0;-;5;5;3;4.142857
group;8;0;7;0;2;2;2.0
group_plugin;1;7;7;0;3;3;3.0
host;14;0;-;4;9;11;9.857142
host_group;14;0;-;8;3;7;4.714286
host_group_host;6;8;-;0;3;3;3.0
host_group_plugin;6;8;-;3;3;6;5.0
host_plugin;14;0;-;3;3;6;3.857143
metric;14;0;-;6;8;9;8.428572
metric_index;8;0;7;0;2;2;2.0
operations;14;0;-;10;6;7;6.428571
panel;14;0;-;7;7;4;5.714286
panel_chart;8;0;7;0;3;3;3.0
plugin;14;0;-;6;7;10;8.285714
product;6;8;-;0;6;6;6.0
product_host;6;8;-;0;4;4;4.0
product_user;6;8;-;0;2;2;2.0
scripts;6;8;-;0;3;3;3.0
strategy;14;0;-;6;12;10;10.571428
strategy_event;14;0;-;8;20;16;18.0
strategy_event_failed;6;8;-;0;6;6;6.0
strategy_event_process;6;8;-;0;5;5;5.0
strategy_event_record;6;8;-;0;15;15;15.0
strategy_group;14;0;-;0;3;3;3.0
strategy_host;8;0;7;0;3;3;3.0
strategy_host_exclude;6;8;-;0;3;3;3.0
strategy_template;6;8;-;0;6;6;6.0
tag_index;8;0;7;0;3;3;3.0
trigger;14;0;-;2;11;10;10.571428
trigger_event;14;0;-;1;11;11;11.0
trigger_event_record;6;8;-;1;12;12;12.0
trigger_template;6;8;-;0;10;10;10.0
user;14;0;-;3;10;11;10.428572
user_group;14;0;-;3;2;5;3.2857144
user_group_user;6;8;-;0;3;3;3.0
user_user_group;8;0;7;0;3;3;3.0
