;0;1;2;3;4;
_version_;0;0;2;2;2;
bars;8;8;8;8;8;
greeks;0;12;12;13;13;
symbols;5;5;5;5;5;
ticks;9;9;9;9;9;
trades;15;15;15;15;15;
