;0;1;2;3;4;
_version_;0|-|-|-|-;0|-|-|-|-;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
bars;8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];8[0|0|0|0];
greeks;0|-|-|-|-;12[0|0|0|0];12[0|0|0|0];13[1|0|0|0];13[0|0|0|0];
symbols;5[0|0|0|0];5[0|0|2|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
ticks;9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|0|0];9[0|0|1|0];
trades;15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];15[0|0|0|0];
