Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
blogs	1	0	0	0	2015-10-09 22:44:40	2015-10-09 22:44:40	0	0	0	7	7	7	1	0	0	0	0		10	0	10
pages	1	1	-	1	2015-10-19 13:49:16	2015-10-19 13:49:16	1	1	0	9	9	9	1	0	0	0	0		20	0	20
pages_tags	1	1	-	1	2015-10-19 13:49:16	2015-10-19 13:49:16	1	1	0	3	3	3	1	0	0	0	0		20	0	20
tags	2	0	-	1	2015-10-09 22:44:40	2015-10-19 13:49:16	0	1	9	4	4	4	1	3	1	1.5	0.5	3	20	1	21
users	2	0	-	1	2015-10-09 22:44:40	2015-10-19 13:49:16	0	1	9	5	7	6	1.4	2	1	1	0.5	2	20	1	21
