;0;1;
blogs;7[0|0|0|0];0|-|-|-|-;
pages;0|-|-|-|-;9[0|0|0|0];
pages_tags;0|-|-|-|-;3[0|0|0|0];
tags;4[0|0|0|0];4[1|1|1|0];
users;5[0|0|0|0];7[2|0|0|0];
