trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1439241599		1439241599.sql	2015-08-10 21:19:59	0	0	0		11		72	11	0	72	0	0	0	0	0			72	0	0	72	0	72	
1	1439848972	1439241599.sql	1439848972.sql	2015-08-17 22:02:52	7	1	1	11	8	72	57	1	4	6	21	0	0	0	0	-3	-15	6	21	0	6	21	27	
2	1440070010	1439848972.sql	1440070010.sql	2015-08-20 11:26:50	9	1	1	8	8	57	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	1442439829	1440070010.sql	1442439829.sql	2015-09-16 21:43:49	37	1	2	8	10	57	59	2	0	4	0	8	10	0	0	2	2	12	10	0	12	10	22	
4	1444234035	1442439829.sql	1444234035.sql	2015-10-07 16:07:15	57	1	2	10	11	59	62	1	0	2	0	2	1	1	0	1	3	4	1	1	4	2	6	
5	1446738078	1444234035.sql	1446738078.sql	2015-11-05 15:41:18	86	1	3	11	11	62	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	1458431033	1446738078.sql	1458431033.sql	2016-03-19 23:43:53	222	1	8	11	11	62	69	0	0	0	0	7	0	1	0	0	7	7	0	1	7	1	8	
7	1461096235	1458431033.sql	1461096235.sql	2016-04-19 20:03:55	252	1	9	11	11	69	69	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	
8	1462303662	1461096235.sql	1462303662.sql	2016-05-03 19:27:42	266	1	9	11	11	69	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	1464391220	1462303662.sql	1464391220.sql	2016-05-27 23:20:20	291	1	10	11	11	69	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	1464617949	1464391220.sql	1464617949.sql	2016-05-30 14:19:09	293	1	10	11	11	69	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
