table;dur;birth;death;chngs;s@s;s@e;sAvg
favorite;6;4;-;8;7;8;7.8333335
follow;9;1;-;1;6;7;6.7777777
reply;8;2;-;3;7;7;7.0
tweet;10;0;-;0;3;3;3.0
