;0;1;2;3;4;5;6;7;8;9;
favorite;-;-;-;-;0;0;0;2;0;3;
follow;-;0;0;0;0;0;0;0;0;0;
reply;-;-;0;0;0;0;0;0;0;3;
tweet;0;0;0;0;0;0;0;0;0;0;
