trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	
0	1424015304		1424015304.sql	2015-02-15 15:48:24	0	0	0		1		3	1	0	3	0	0	0	0	0			3	0	0	3	0	3	
1	1424024588	1424015304.sql	1424024588.sql	2015-02-15 18:23:08	0	1	1	1	2	3	9	1	0	6	0	0	0	0	0	1	6	6	0	0	6	0	6	
2	1424034220	1424024588.sql	1424034220.sql	2015-02-15 21:03:40	0	1	1	2	3	9	16	1	0	7	0	0	0	0	0	1	7	7	0	0	7	0	7	
3	1424383631	1424034220.sql	1424383631.sql	2015-02-19 22:07:11	4	1	1	3	3	16	17	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
4	1426346613	1424383631.sql	1426346613.sql	2015-03-14 15:23:33	26	1	1	3	4	17	24	1	0	7	0	0	0	0	0	1	7	7	0	0	7	0	7	
5	1426348402	1426346613.sql	1426348402.sql	2015-03-14 15:53:22	27	1	1	4	4	24	25	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	
6	1426349789	1426348402.sql	1426349789.sql	2015-03-14 16:16:29	27	1	1	4	4	25	25	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	
7	1426350352	1426349789.sql	1426350352.sql	2015-03-14 16:25:52	27	1	1	4	4	25	25	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	
8	1426350834	1426350352.sql	1426350834.sql	2015-03-14 16:33:54	27	1	1	4	4	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	1551358767	1426350834.sql	1551358767.sql	2019-02-28 12:59:27	1473	5	49	4	4	25	25	0	0	0	0	0	0	6	0	0	0	0	0	6	0	6	6	
