table;dur;birth;death;chngs;s@s;s@e;sAvg
abundances;1;0;0;0;3;3;3.0
magnitudes;1;1;-;0;7;7;7.0
names;1;1;-;0;3;3;3.0
stars;2;0;-;1;4;4;4.0
temperatures;2;0;-;2;2;3;2.5
vr;1;0;0;0;3;3;3.0
