;0;1;
abundances;3[0|0|0|0];0|-|-|-|-;
magnitudes;0|-|-|-|-;7[0|0|0|0];
names;0|-|-|-|-;3[0|0|0|0];
stars;4[0|0|0|0];4[0|0|1|0];
temperatures;2[0|0|0|0];3[1|0|1|0];
vr;3[0|0|0|0];0|-|-|-|-;
