table;dur;birth;death;chngs;s@s;s@e;sAvg
execution_errors;3;1;-;0;2;2;2.0
executions;4;0;-;2;9;9;9.0
task_tags;4;0;-;0;2;2;2.0
tasks;4;0;-;0;4;4;4.0
