table;dur;birth;death;chngs;s@s;s@e;sAvg
archive;14;0;-;2;11;11;11.0
archive_prefs;14;0;-;0;6;6;6.0
bosh;14;0;-;0;3;3;3.0
caps_features;14;0;-;0;4;4;4.0
carboncopy;8;0;7;0;5;5;5.0
irc_custom;5;0;4;0;5;5;5.0
last;14;0;-;0;4;4;4.0
mix_channel;4;9;-;0;8;8;8.0
mix_pam;4;9;-;0;6;6;6.0
mix_participant;4;9;-;0;8;8;8.0
mix_subscription;4;9;-;0;6;6;6.0
motd;14;0;-;0;4;4;4.0
mqtt_pub;1;13;-;0;12;12;12.0
muc_online_room;14;0;-;0;5;5;5.0
muc_online_users;14;0;-;0;7;7;7.0
muc_registered;14;0;-;0;5;5;5.0
muc_room;14;0;-;0;5;5;5.0
muc_room_subscribers;14;0;-;0;6;6;6.0
oauth_token;14;0;-;0;4;4;4.0
privacy_default_list;14;0;-;0;3;3;3.0
privacy_list;14;0;-;0;5;5;5.0
privacy_list_data;14;0;-;0;10;10;10.0
private_storage;14;0;-;0;5;5;5.0
proxy65;14;0;-;0;6;6;6.0
pubsub_item;14;0;-;3;6;6;6.0
pubsub_node;14;0;-;0;5;5;5.0
pubsub_node_option;14;0;-;0;3;3;3.0
pubsub_node_owner;14;0;-;0;2;2;2.0
pubsub_state;14;0;-;0;5;5;5.0
pubsub_subscription_opt;14;0;-;0;3;3;3.0
push_session;14;0;-;0;6;6;6.0
roster_version;14;0;-;0;3;3;3.0
rostergroups;14;0;-;0;4;4;4.0
rosterusers;14;0;-;0;11;11;11.0
route;14;0;-;0;5;5;5.0
sm;14;0;-;0;8;8;8.0
spool;14;0;-;1;5;5;5.0
sr_group;14;0;-;0;4;4;4.0
sr_user;14;0;-;0;4;4;4.0
users;14;0;-;0;7;7;7.0
vcard;14;0;-;0;4;4;4.0
vcard_search;14;0;-;0;25;25;25.0
