;0;1;
app;7[0|0|0|0];7[0|0|0|0];
config;10[0|0|0|0];10[0|0|0|0];
env;3[0|0|0|0];3[0|0|0|0];
role;7[0|0|0|0];7[0|0|0|0];
role_resource;7[0|0|0|0];7[0|0|0|0];
user;7[0|0|0|0];7[0|0|0|0];
