Table	Duration	Birth	Death	LastKnownVersion	BirthDate	LKVDate	YearOfBirth	YearOfLKV	DurationDays	SchemaSize@Birth	SchemaSize@LKV	SchemaSizeAvg	SchemaSizeResizeRatio	SumUpd	CountVwUpd	ATU	UpdRate	AvgUpdVolume	SurvivalClass	ActivityClass	LADClass
albums	4	0	-	3	2014-01-16 00:47:13	2016-12-25 16:13:46	0	3	1074	3	3	3	1	2	1	0.5	0.25	2	20	1	21
artists	4	0	-	3	2014-01-16 00:47:13	2016-12-25 16:13:46	0	3	1074	2	2	2	1	0	0	0	0		20	0	20
tracks	4	0	-	3	2014-01-16 00:47:13	2016-12-25 16:13:46	0	3	1074	5	6	5.75	1.2	1	1	0.25	0.25	1	20	1	21
