;0;1;2;3;
albums;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[1|1|0|0];
artists;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
tracks;5[0|0|0|0];6[1|0|0|0];6[0|0|0|0];6[0|0|0|0];
