table;dur;birth;death;chngs;s@s;s@e;sAvg
oc_order_shipment;92;423;-;2;5;5;5.0
oc_order_status;494;17;-;0;3;3;3.0
oc_order_total;494;17;-;4;6;6;6.305668
oc_order_total_klarna;6;110;115;1;2;2;2.0
oc_order_voucher;458;58;-;3;12;12;12.0
oc_product;494;17;-;31;18;31;30.582996
oc_product_attribute;481;35;-;1;4;4;4.0
oc_product_description;494;17;-;7;5;8;7.6133604
oc_product_discount;494;17;-;2;4;8;7.991903
oc_product_featured;7;28;34;0;1;1;1.0
oc_product_filter;432;84;-;2;2;2;2.0254629
oc_product_image;494;17;-;1;3;4;3.9271255
oc_product_option;494;17;-;8;3;5;4.9473686
oc_product_option_description;13;17;34;0;4;4;4.0
oc_product_option_value;494;17;-;13;6;13;12.864372
oc_product_option_value_description;13;17;34;0;4;4;4.0
oc_product_profile;62;190;252;0;3;3;3.0
oc_product_recurring;263;253;-;0;3;3;3.0
oc_product_related;494;17;-;0;2;2;2.0
oc_product_reward;481;35;-;0;4;4;4.0
oc_product_special;494;17;-;2;5;7;6.9959517
oc_product_tag;24;35;58;0;4;4;4.0
oc_product_tags;7;28;34;0;3;3;3.0
oc_product_to_category;494;17;-;0;2;2;2.0
oc_product_to_download;494;17;-;0;2;2;2.0
oc_product_to_layout;481;35;-;0;3;3;3.0
oc_product_to_store;493;23;-;0;2;2;2.0
oc_profile;62;190;252;1;12;12;12.0
oc_profile_description;62;190;252;0;3;3;3.0
oc_recurring;263;253;-;0;12;12;12.0
oc_recurring_description;263;253;-;0;3;3;3.0
oc_return;481;35;-;12;12;19;18.665281
oc_return_action;481;35;-;0;3;3;3.0
oc_return_history;481;35;-;4;6;6;6.0
oc_return_product;23;35;57;1;10;10;10.0
oc_return_reason;481;35;-;0;3;3;3.0
oc_return_status;481;35;-;0;3;3;3.0
oc_review;494;17;-;6;9;9;9.0
oc_seo_url;34;482;-;0;5;5;5.0
oc_session;28;488;-;2;3;3;3.0
oc_setting;493;17;-;9;4;6;5.9148073
oc_shipping_courier;92;423;-;0;3;3;3.0
oc_statistics;58;458;-;1;3;3;3.0
oc_stock_status;494;17;-;0;3;3;3.0
oc_store;493;23;-;42;39;4;4.872211
oc_store_description;12;23;34;0;3;3;3.0
oc_tax_class;494;17;-;4;5;5;5.0
oc_tax_rate;494;17;-;12;8;7;7.0728745
oc_tax_rate_to_customer_group;458;58;-;0;2;2;2.0
oc_tax_rule;458;58;-;0;5;5;5.0
oc_theme;126;389;-;9;5;6;5.801587
oc_translation;136;380;-;15;5;7;6.7132354
oc_upload;304;212;-;2;5;5;5.0
oc_url_alias;460;17;481;0;3;3;3.0
oc_user;494;17;-;14;10;13;12.607287
oc_user_group;494;17;-;1;3;3;3.0
oc_voucher;481;35;-;10;12;12;12.0
oc_voucher_history;479;37;-;5;6;5;5.004175
oc_voucher_theme;479;37;-;0;2;2;2.0
oc_voucher_theme_description;479;37;-;0;3;3;3.0
oc_weight_class;494;17;-;0;4;2;2.0040486
oc_weight_class_description;493;23;-;0;4;4;4.0
oc_weight_rule;1;17;17;0;3;3;3.0
oc_zone;494;17;-;2;4;5;4.9878545
oc_zone_to_geo_zone;494;17;-;4;6;6;6.0
