;0;1;
groups;2[0|0|0|0];3[1|0|0|0];
odd_person_out;3[0|0|0|0];3[0|0|0|0];
pairs;4[0|0|0|0];4[0|0|0|0];
people;4[0|0|0|0];4[0|0|0|0];
people_groups;3[0|0|0|0];3[0|0|0|0];
staff;9[0|0|0|0];9[0|0|0|0];
week;4[0|0|0|0];4[0|0|0|0];
