trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1442436596		1442436596.sql	2015-09-16 20:49:56	0	0	0	0	7	0	29	7	0	29	0	0	0	0	0	0	0	29	0	0	29	0	29	1	0	1
1	1482275466	1442436596.sql	1482275466.sql	2016-12-20 23:11:06	461	2	16	7	7	29	30	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
