;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
ea_appointments;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;
ea_consents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8;
ea_migrations;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;
ea_roles;11;11;11;11;11;11;11;11;11;11;11;10;10;10;10;10;10;10;10;
ea_secretaries_providers;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
ea_service_categories;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
ea_services;7;7;7;7;7;7;7;9;9;9;9;9;9;9;9;9;9;9;9;
ea_services_providers;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
ea_settings;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
ea_user_settings;10;10;10;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;
ea_users;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;
