;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
ea_appointments;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;
ea_consents;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;
ea_migrations;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;
ea_roles;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;
ea_secretaries_providers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;
ea_service_categories;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
ea_services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;
ea_services_providers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;
ea_settings;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
ea_user_settings;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
ea_users;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;
