trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1421175308		1421175308.sql	2015-01-13 18:55:08	0	0	0	0	9	0	42	9	0	42	0	0	0	0	0	0	0	42	0	0	42	0	42	1	0	1
1	1421249030	1421175308.sql	1421249030.sql	2015-01-14 15:23:50	0	1	1	9	9	42	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1422031862	1421249030.sql	1422031862.sql	2015-01-23 16:51:02	9	1	1	9	9	42	43	1	1	5	5	2	1	0	0	0	1	7	6	0	7	6	13	0	1	1
3	1422040157	1422031862.sql	1422040157.sql	2015-01-23 19:09:17	10	1	1	9	9	43	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1422209291	1422040157.sql	1422209291.sql	2015-01-25 18:08:11	11	1	1	9	9	43	44	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
5	1422296520	1422209291.sql	1422296520.sql	2015-01-26 18:22:00	12	1	1	9	9	44	45	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
6	1422580559	1422296520.sql	1422580559.sql	2015-01-30 01:15:59	16	1	1	9	10	45	51	1	0	6	0	0	0	0	0	1	6	6	0	0	6	0	6	0	1	1
7	1422580907	1422580559.sql	1422580907.sql	2015-01-30 01:21:47	16	1	1	10	10	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	1422633217	1422580907.sql	1422633217.sql	2015-01-30 15:53:37	16	1	1	10	11	51	57	1	0	6	0	0	0	0	0	1	6	6	0	0	6	0	6	0	1	1
9	1422659692	1422633217.sql	1422659692.sql	2015-01-30 23:14:52	17	1	1	11	11	57	59	0	0	0	0	2	0	1	0	0	2	2	0	1	2	1	3	0	1	1
10	1424474706	1422659692.sql	1424474706.sql	2015-02-20 23:25:06	38	1	2	11	11	59	59	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	2	0	1	1
11	1426357929	1424474706.sql	1426357929.sql	2015-03-14 18:32:09	59	1	3	11	11	59	58	0	0	0	0	0	1	0	0	0	-1	0	1	0	0	1	1	0	1	1
12	1427216648	1426357929.sql	1427216648.sql	2015-03-24 17:04:08	69	1	3	11	11	58	60	0	0	0	0	2	0	0	0	0	2	2	0	0	2	0	2	0	1	1
13	1427502050	1427216648.sql	1427502050.sql	2015-03-28 00:20:50	73	1	3	11	12	60	64	1	0	4	0	0	0	0	0	1	4	4	0	0	4	0	4	0	1	1
14	1428281457	1427502050.sql	1428281457.sql	2015-04-06 00:50:57	82	1	3	12	12	64	65	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
15	1430427953	1428281457.sql	1430427953.sql	2015-04-30 21:05:53	107	1	4	12	12	65	64	0	0	0	0	1	2	0	0	0	-1	1	2	0	1	2	3	0	1	1
