;0;1;2;3;
audit;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
data_source;5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];5[0|0|0|0];
execution;4[0|0|0|0];4[0|0|0|0];5[1|0|0|0];5[0|0|0|0];
host;3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];3[0|0|0|0];
message;7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];7[0|0|0|0];
message_data;2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];2[0|0|0|0];
