table;dur;birth;death;chngs;s@s;s@e;sAvg
audit;4;0;-;0;7;7;7.0
data_source;4;0;-;0;5;5;5.0
execution;4;0;-;1;4;5;4.5
host;4;0;-;0;3;3;3.0
message;4;0;-;0;7;7;7.0
message_data;4;0;-;0;2;2;2.0
