;0;1;2;3;
instances;3[0|0|0|0];0|-|-|-|-;0|-|-|-|-;0|-|-|-|-;
jupiter_brain.instances;0|-|-|-|-;3[0|0|0|0];2[0|1|1|0];3[1|0|0|0];
