table;dur;birth;death;chngs;s@s;s@e;sAvg
address;7;0;-;0;13;13;13.0
affiliate;7;0;-;0;31;31;31.0
affiliate_transaction;7;0;-;0;6;6;6.0
attribute;7;0;-;0;3;3;3.0
attribute_description;7;0;-;0;3;3;3.0
attribute_group;7;0;-;0;2;2;2.0
attribute_group_description;7;0;-;0;3;3;3.0
banner;7;0;-;0;3;3;3.0
banner_image;7;0;-;0;4;4;4.0
banner_image_description;7;0;-;0;4;4;4.0
category;7;0;-;0;9;9;9.0
category_description;7;0;-;0;6;6;6.0
category_filter;7;0;-;0;2;2;2.0
category_path;7;0;-;0;3;3;3.0
category_to_layout;7;0;-;0;3;3;3.0
category_to_store;7;0;-;0;2;2;2.0
country;7;0;-;0;7;7;7.0
coupon;7;0;-;0;14;14;14.0
coupon_category;7;0;-;0;2;2;2.0
coupon_history;7;0;-;0;6;6;6.0
coupon_product;7;0;-;0;3;3;3.0
currency;7;0;-;0;9;9;9.0
custom_field;7;0;-;0;7;7;7.0
custom_field_description;7;0;-;0;3;3;3.0
custom_field_to_customer_group;7;0;-;0;2;2;2.0
custom_field_value;7;0;-;0;3;3;3.0
custom_field_value_description;7;0;-;0;4;4;4.0
customer;7;0;-;0;19;19;19.0
customer_ban_ip;7;0;-;0;2;2;2.0
customer_field;7;0;-;0;6;6;6.0
customer_group;7;0;-;0;7;7;7.0
customer_group_description;7;0;-;0;4;4;4.0
customer_history;7;0;-;0;4;4;4.0
customer_ip;7;0;-;0;4;4;4.0
customer_online;7;0;-;0;5;5;5.0
customer_reward;7;0;-;0;6;6;6.0
customer_transaction;7;0;-;0;6;6;6.0
download;7;0;-;0;5;5;5.0
download_description;7;0;-;0;3;3;3.0
extension;7;0;-;0;3;3;3.0
filter;7;0;-;0;3;3;3.0
filter_description;7;0;-;0;4;4;4.0
filter_group;7;0;-;0;2;2;2.0
filter_group_description;7;0;-;0;3;3;3.0
geo_zone;7;0;-;0;5;5;5.0
information;7;0;-;0;4;4;4.0
information_description;7;0;-;0;4;4;4.0
information_to_layout;7;0;-;0;3;3;3.0
information_to_store;7;0;-;0;2;2;2.0
language;7;0;-;0;9;9;9.0
layout;7;0;-;0;2;2;2.0
layout_route;7;0;-;0;4;4;4.0
length_class;7;0;-;0;2;2;2.0
length_class_description;7;0;-;0;4;4;4.0
manufacturer;7;0;-;0;4;4;4.0
manufacturer_to_store;7;0;-;0;2;2;2.0
option;7;0;-;0;3;3;3.0
option_description;7;0;-;0;3;3;3.0
option_value;7;0;-;0;4;4;4.0
option_value_description;7;0;-;0;4;4;4.0
order;7;0;-;0;58;58;58.0
order_download;7;0;-;0;7;7;7.0
order_field;7;0;-;0;6;6;6.0
order_fraud;7;0;-;0;53;53;53.0
order_history;7;0;-;0;6;6;6.0
order_option;7;0;-;0;8;8;8.0
order_product;7;0;-;0;10;10;10.0
order_status;7;0;-;0;3;3;3.0
order_total;7;0;-;0;7;7;7.0
order_voucher;7;0;-;0;12;12;12.0
product;7;0;-;0;31;31;31.0
product_attribute;7;0;-;0;4;4;4.0
product_description;7;0;-;0;7;7;7.0
product_discount;7;0;-;0;8;8;8.0
product_filter;7;0;-;0;2;2;2.0
product_image;7;0;-;0;4;4;4.0
product_option;7;0;-;0;5;5;5.0
product_option_value;7;0;-;0;13;13;13.0
product_related;7;0;-;0;2;2;2.0
product_reward;7;0;-;0;4;4;4.0
product_special;7;0;-;0;7;7;7.0
product_to_category;7;0;-;0;2;2;2.0
product_to_download;7;0;-;0;2;2;2.0
product_to_layout;7;0;-;0;3;3;3.0
product_to_store;7;0;-;0;2;2;2.0
return;7;0;-;0;19;19;19.0
return_action;7;0;-;0;3;3;3.0
return_history;7;0;-;0;6;6;6.0
return_reason;7;0;-;0;3;3;3.0
return_status;7;0;-;0;3;3;3.0
review;7;0;-;0;9;9;9.0
setting;7;0;-;0;6;6;6.0
stock_status;7;0;-;0;3;3;3.0
store;7;0;-;0;4;4;4.0
tax_class;7;0;-;0;5;5;5.0
tax_rate;7;0;-;0;7;7;7.0
tax_rate_to_customer_group;7;0;-;0;2;2;2.0
tax_rule;7;0;-;0;5;5;5.0
url_alias;7;0;-;0;3;3;3.0
user;7;0;-;0;12;12;12.0
user_group;7;0;-;0;3;3;3.0
voucher;7;0;-;0;12;12;12.0
voucher_history;7;0;-;0;5;5;5.0
voucher_theme;7;0;-;0;2;2;2.0
voucher_theme_description;7;0;-;0;3;3;3.0
weight_class;7;0;-;0;2;2;2.0
weight_class_description;7;0;-;0;4;4;4.0
zone;7;0;-;0;5;5;5.0
zone_to_geo_zone;7;0;-;0;6;6;6.0
