trID	epochTime	oldVer	newVer	humanTime	distFromV0InDays	runningYearFromV0	runningMonthFromV0	#numOldTables	#numNewTables	#numOldAttrs	#numNewAttrs	tablesIns	tablesDel	attrsInsWithTableIns	attrsbDelWithTableDel	attrsInjected	attrsEjected	attrsWithTypeUpd	attrsInPKUpd	tableDelta	attrDelta	attrBirthsSum	attrDeathsSum	attrUpdsSum	Expansion	Maintenance	TotalAttrActivity	isReed	isTurf	isActive
0	1431022933		1431022933.sql	2015-05-07 18:22:13	0	0	0	0	1	0	10	1	0	10	0	0	0	0	0	0	0	10	0	0	10	0	10	0	1	1
1	1433279438	1431022933.sql	1433279438.sql	2015-06-02 21:10:38	26	1	1	1	1	10	11	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1
