trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1504825823;1494950276.sql;1504825823.sql;41;41;458;458;0;0;0;0;0;0;0;0
2;1526506785;1504825823.sql;1526506785.sql;41;41;458;458;0;0;0;0;0;0;0;0
3;1526509105;1526506785.sql;1526509105.sql;41;41;458;458;0;0;0;0;0;0;0;0
4;1528822799;1526509105.sql;1528822799.sql;41;41;458;458;0;0;0;0;3;0;0;0
