;0;1;2;3;
foo;4[0|0|0|0];4[0|0|0|1];4[0|0|0|0];6[2|0|0|0];
moon_bar;10[0|0|0|0];10[0|0|0|1];10[0|0|0|0];10[0|0|0|0];
product;3[0|0|0|0];3[0|0|0|1];3[0|0|0|0];3[0|0|0|0];
