;0;1;2;3;4;5;6;7;8;9;10;11;
job;3;3;3;2;2;2;2;2;2;2;2;2;
job_result;0;0;0;5;5;5;4;4;4;4;3;3;
job_url;0;0;0;4;4;4;3;3;3;3;3;3;
job_urls;4;5;4;0;0;0;0;0;0;0;0;0;
url;4;6;6;6;6;6;6;6;6;4;4;4;
url_link;0;0;0;0;0;0;0;0;0;2;2;2;
url_pending;0;3;3;3;3;3;2;2;2;2;3;3;
url_queue;3;0;0;0;0;0;0;0;0;0;0;0;
