;0;1;
activities;5[0|0|0|0];5[0|0|0|0];
activity_notifications;9[0|0|0|0];9[0|0|0|0];
categories;6[0|0|0|0];6[0|0|0|0];
irclog;4[0|0|0|0];4[0|0|0|0];
notifications;9[0|0|0|0];9[0|0|0|0];
notifications_bounces;6[0|0|0|0];6[0|0|0|0];
posts;18[0|0|0|0];18[0|0|0|0];
posts_bounties;6[0|0|0|0];6[0|0|0|0];
posts_history;5[0|0|0|0];5[0|0|0|0];
posts_notifications;3[0|0|0|0];3[0|0|0|0];
posts_replies;11[0|0|0|0];11[0|0|0|0];
posts_replies_history;5[0|0|0|0];5[0|0|0|0];
posts_replies_votes;5[0|0|0|0];5[0|0|0|0];
posts_subscribers;4[0|0|0|0];4[0|0|0|0];
posts_views;3[0|0|0|0];3[0|0|0|0];
posts_votes;5[0|0|0|0];5[0|0|0|0];
users;18[0|0|0|0];18[0|0|0|0];
users_badges;7[0|0|0|0];7[0|0|0|0];
